ax (m/s^2),ay (m/s^2),az (m/s^2)
3.4094,-3.1151,-0.0593
3.3054,-1.957,-0.4669
3.054,-0.9821,-0.5676
2.5018,-0.3233,-0.1056
1.4978,0.2866,0.9562
0.4152,0.8947,1.7801
-0.4194,1.5075,2.322
-1.0682,1.9688,2.7803
-0.8692,1.615,2.893
0.0322,0.9837,2.8451
1.348,0.9954,1.9332
2.9302,2.3487,-0.1693
4.4373,4.6911,-3.5461
3.7216,6.1264,-6.2491
3.2808,4.3176,-6.1271
2.9558,0.8873,-4.8732
1.3173,-0.9648,-2.9816
0.228,-0.9427,-1.4759
0.3483,0.0785,-1.1305
0.732,1.8588,-1.6897
1.4977,3.2456,-2.7761
1.9293,3.3307,-2.9003
1.8376,2.0479,-2.3162
1.3329,0.5533,-1.5633
1.2599,-0.6646,-0.8411
1.5262,-1.6941,-0.4754
1.2785,-2.1307,-0.5379
1.1967,-2.4447,-1.0664
1.2521,-2.3495,-1.3241
0.8044,-1.9761,-1.4641
0.5108,-1.6486,-1.6059
0.7829,-1.6439,-1.8016
-0.3288,-1.3299,-1.6668
-0.708,-1.2321,-1.2276
-1.6637,-0.909,-0.3772
-2.0437,-0.6925,-0.0061
-2.4272,-0.4909,0.233
-2.4962,-0.504,0.4767
-2.3468,-0.5502,0.7077
-1.7699,-0.5969,0.9386
-0.8234,-0.6862,1.4263
-0.0513,-0.7748,1.5827
0.5349,-0.8105,1.4027
0.3569,-0.5366,0.7766
-0.0127,-0.1743,0.5162
-0.1292,-0.0807,0.4455
-0.1118,-0.1634,0.6192
0.1867,-0.0989,0.9029
0.7253,0.2207,1.0441
0.9827,0.5902,1.1041
1.1445,0.7089,1.1448
1.1472,0.7103,1.0445
1.021,0.7361,0.4764
0.3487,1.3954,-0.7432
0.3933,2.8528,-2.9114
1.8762,3.7988,-3.7662
2.8955,3.3982,-2.8832
2.3546,1.3839,-2.5407
1.8901,-0.2987,-1.5109
0.361,-0.228,-0.0243
-0.4921,0.7016,1.1357
-1.1247,2.0925,0.1292
-0.6979,3.0118,-1.0882
0.5339,3.1216,-1.6433
1.6507,2.5282,-1.2498
2.1193,1.3844,-0.2645
2.2981,0.0717,0.5037
2.2888,-1.1732,0.8568
2.034,-2.1623,1.0078
1.8002,-2.8038,0.9629
1.4662,-3.0174,0.8191
1.1941,-3.2257,0.6123
0.9362,-3.187,0.2352
0.8,-3.249,-0.243
0.8305,-3.3399,-0.3209
1.0542,-3.5514,-0.0792
1.4343,-3.9328,-0.3133
1.4379,-4.1413,-0.8116
1.5213,-4.5453,-1.337
0.8173,-4.8668,-0.8777
0.2638,-5.2469,-0.0755
-0.034,-5.7875,0.7404
0.1156,-6.0421,1.3132
0.6334,-5.9715,1.1318
0.9059,-5.2063,0.2876
1.34,-4.2335,-0.1311
-0.1934,-2.2589,-0.4422
-1.0077,-0.7262,-0.3987
-0.5326,-0.111,-0.0121
-0.1823,-0.7014,-1.0416
0.5208,-1.4052,-2.3098
0.334,0.0474,-4.6532
-0.1674,3.0737,-3.7077
0.2042,7.0599,-2.043
2.2804,15.6166,-2.1665
3.1839,19.6076,3.2579
2.6225,13.6686,4.6586
-1.3765,6.9747,4.7863
-3.088,4.0357,6.0781
-3.0457,3.4531,2.7326
-1.3861,3.7016,-1.4485
0.748,3.6574,-2.2166
1.8938,2.4667,-1.2336
1.8058,0.1438,-0.2466
0.9466,-2.2981,-0.2897
-1.0837,-3.956,-0.2273
0.5753,-6.6336,-1.8675
-0.0767,-7.6986,-1.4169
-0.7513,-8.0057,-1.3681
-1.0233,-7.8483,-1.2328
-0.348,-7.0926,-0.5033
-0.2562,-6.4086,-0.2091
-0.1588,-5.8821,-0.9523
0.3636,-5.3447,-1.1522
1.0375,-4.9778,-0.7297
1.6534,-4.5264,-0.0484
1.7732,-4.1633,0.3916
1.3674,-3.9071,0.6474
0.145,-3.2686,0.6421
-2.001,-2.0562,0.0582
-3.187,-1.2698,-0.2159
-3.1491,0.4054,-1.9033
-3.0793,3.3818,-2.6283
-1.0133,6.5459,-2.5737
1.4863,10.0169,-3.7906
0.1035,14.9457,-2.73
2.1631,13.8046,1.3917
3.126,8.2827,2.0196
-0.2401,4.95,2.5624
-1.0416,3.9283,3.8039
-0.9251,4.1919,2.0778
-1.3309,4.6909,-0.2254
-1.1211,4.5133,-0.9933
-0.2432,2.9434,-0.8778
0.6118,0.7473,-0.4225
1.1279,-1.3975,-0.0938
1.6291,-3.4102,0.0405
1.1701,-4.5831,0.1184
0.9961,-5.6079,0.2083
1.3561,-6.8442,-0.0815
1.1402,-7.9988,-0.6281
0.7112,-8.1064,-0.6774
-0.2148,-7.6758,-0.6433
-0.5404,-7.214,-1.0079
-0.5634,-6.1173,-0.2459
-0.5573,-5.1893,0.2595
-0.4139,-4.1839,0.603
-0.2854,-3.4039,0.7397
-0.3382,-2.6437,0.1742
-0.1592,-1.6382,-0.1387
0.4895,-1.2348,-0.2167
1.1449,-1.6624,-1.6242
0.9873,-2.1204,-3.3264
0.2814,-1.5778,-3.5473
-1.6046,0.6068,-3.2009
-2.1003,3.1762,-2.5986
-2.1767,7.2525,0.4427
-1.2636,15.9644,0.1173
-0.2085,21.278,2.1792
-4.1621,17.0696,2.8602
0.3798,5.9088,4.4171
2.9341,2.1143,4.3943
2.49,2.0995,0.7777
1.9746,3.1459,-1.5368
1.1251,3.6779,-1.2019
-0.3302,2.2771,0.2777
-1.8012,0.0,1.0326
-1.3301,-3.8957,0.0964
-1.2595,-5.3027,-0.2566
